what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414452543116
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414452543156
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414452626662
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414452629892
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414452630792
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414452632992
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414452645654
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414452645894
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414452645934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414452689938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414452722657
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414452724307
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414452725207
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414452726968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414452727448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414452810616
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414452871794
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414452921631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414452996175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414453287278
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414453287929
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414453292860
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414453292900
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414453295210
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414453295250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414453344545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414453591362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414453591812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414453592822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414453593234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414453713715
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414453728527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414453732128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414453876591
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414453877931
