what,kind,bundleId,bundleVersion,description,time
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1414562687036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414562687086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414562687341
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1414562687766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414562687816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414562688027
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1414562688373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414562688423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414562689167
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1414562692020
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1414562693220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414562693270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414562693614
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1414562694163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414562694213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414562694504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414562695567
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414562699537
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414562701987
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414562702157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414562707258
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414562732805
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414562735355
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414562735385
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414562739166
